Cluster,Q4,Q18,Q21,Q23,Effectif,Pourcentage,Taux_interet_Q10
0,2.4574468085106385,1.851063829787234,1.3936170212765957,1.0425531914893618,94,41.77777777777778,67.02127659574468
1,2.6530612244897958,3.061224489795918,2.4489795918367347,2.2653061224489797,49,21.777777777777775,81.63265306122449
2,4.451219512195122,3.817073170731707,1.2560975609756098,1.024390243902439,82,36.44444444444444,9.75609756097561
