k,Inertie,Silhouette,Davies_Bouldin
2,684.1559810312303,0.2283628687378948,1.6469838789562439
3,539.2932530831386,0.25557281812554616,1.3604715045645666
4,465.4414973164765,0.2570349063927031,1.281576503961925
5,405.734236601987,0.24994394499398082,1.3094297559404393
6,354.3732755833567,0.2615800789317219,1.2218043571267863
7,319.37522749538687,0.2792940205400414,1.2135632162610739
8,293.741239321734,0.27233370581036176,1.1893143059275062
