Modalite,Coefficient_log_odds,Odds_ratio,Coefficient_absolu
Q5_2,-1.5530296554741683,0.21160590870013674,1.5530296554741683
Q23_3,1.2995896271991714,3.6677911969919084,1.2995896271991714
Q4_5,-1.2009347246727722,0.30091280978827434,1.2009347246727722
Q23_4,1.136468859437093,3.1157467774211485,1.136468859437093
Q18_4,-1.1279188495610197,0.3237062372699542,1.1279188495610197
Q7_6,1.075021236028709,2.930055122607727,1.075021236028709
Q23_1,1.0422444416440457,2.835574158289223,1.0422444416440457
Q18_2,0.991089758608206,2.694168866882656,0.991089758608206
Q23_2,0.7272517865079114,2.0693856721845494,0.7272517865079114
Q18_5,-0.6829293506159707,0.5051351051102988,0.6829293506159707
Q7_4,0.6731617312674776,1.9604258719894798,0.6731617312674776
Q7_2,-0.6588404981705215,0.5174509721329001,0.6588404981705215
Q3_3,-0.5947678566965928,0.551690622287051,0.5947678566965928
Q3_5,-0.5533719686796096,0.5750076300161,0.5533719686796096
Q6_3,-0.539890976995728,0.582811788802601,0.539890976995728
Q3_2,0.4908651659046461,1.633729055374875,0.4908651659046461
Q6_1,0.44471328667628135,1.5600428466355412,0.44471328667628135
Q7_5,0.44356521586488695,1.5582528347056317,0.44356521586488695
Q3_7,-0.42325137167379556,0.6549139855940613,0.42325137167379556
Q4_2,0.38314922290861236,1.4668969083604646,0.38314922290861236
Q4_4,-0.3759191183939442,0.686657868787599,0.3759191183939442
Q18_3,0.35607682510650035,1.427717228578828,0.35607682510650035
Q3_6,-0.337294341367625,0.7136987379207927,0.337294341367625
Q4_6,-0.2849893022341052,0.7520222992348561,0.2849893022341052
Q6_2,0.27719468979462425,1.3194232242673511,0.27719468979462425
Q4_3,0.21885126989917444,1.2446461465737901,0.21885126989917444
Q7_1,-0.17499240309113137,0.8394633980719172,0.17499240309113137
Q7_3,0.1733197907059825,1.1892463542119236,0.1733197907059825
Q3_4,-0.08059129382292306,0.922570674735215,0.08059129382292306
