obs,Q10,Q7,Q23,Q5,Q6,Q3,Q4,Q18,Jeu,Cluster,Score_Propension,Prediction,Interet_Carte,Prediction_Interet
69,2,2,1,1,3,7,6,4,train,2,0.08119737222764192,0,Non,Non
70,2,0,0,2,0,7,5,2,train,2,0.06788330537395669,0,Non,Non
71,2,3,0,1,3,4,3,3,test,0,0.424146035841857,0,Non,Non
72,2,0,2,2,0,6,6,2,train,2,0.291003840950919,0,Non,Non
73,1,4,3,1,2,1,3,3,test,1,0.9161639520658708,1,Oui,Oui
74,1,2,1,1,2,2,3,2,test,0,0.8730126907938788,1,Oui,Oui
75,2,0,0,2,0,6,3,4,train,2,0.03794501508832394,0,Non,Non
76,2,0,2,2,0,6,3,5,train,2,0.11297644621732866,0,Non,Non
77,2,2,0,1,3,5,2,1,test,0,0.14154748664584696,0,Non,Non
78,2,0,0,2,2,3,5,3,train,2,0.04113059610366372,0,Non,Non
79,2,2,0,1,2,3,3,4,train,2,0.08955967985913799,0,Non,Non
80,2,0,1,2,0,6,4,2,train,0,0.33929202014918225,0,Non,Non
81,2,2,0,1,2,3,3,5,train,2,0.13307568690146104,0,Non,Non
82,2,0,1,2,3,2,3,4,train,2,0.12983476747091688,0,Non,Non
83,1,3,1,1,3,2,4,2,train,0,0.793829821805417,1,Oui,Oui
84,2,3,2,1,3,2,2,4,train,1,0.4190277736013833,0,Non,Non
85,2,0,0,2,0,7,5,4,test,2,0.008674317344570219,0,Non,Non
86,1,5,0,1,3,3,2,2,test,1,0.5620789001095514,1,Oui,Oui
87,2,3,0,1,2,2,2,3,train,0,0.7767911780455965,1,Non,Oui
88,2,0,2,2,2,7,5,4,train,2,0.02333407275245391,0,Non,Non
89,1,2,1,1,3,2,1,2,train,1,0.7092874718196065,1,Oui,Oui
90,2,0,1,2,0,6,4,4,test,2,0.05811499826410951,0,Non,Non
91,1,6,3,1,2,2,2,4,train,1,0.8770039443960841,1,Oui,Oui
92,1,3,1,1,2,3,4,3,train,2,0.6093562096620876,1,Oui,Oui
93,1,5,2,1,2,2,2,2,test,1,0.9468274181217274,1,Oui,Oui
94,1,4,1,1,2,1,2,1,test,0,0.8745945365474247,1,Oui,Oui
95,1,3,1,1,1,2,2,3,train,0,0.9210592535394584,1,Oui,Oui
96,1,3,1,1,2,2,2,4,test,2,0.6911097434590064,1,Oui,Oui
97,2,2,2,1,3,3,6,4,test,2,0.05152943362325351,0,Non,Non
98,2,0,2,2,2,5,1,2,train,1,0.3671629339510998,0,Non,Non
99,2,2,1,1,2,2,3,4,train,2,0.4523585493812619,0,Non,Non
100,1,5,0,1,2,2,2,3,train,0,0.8201419093316369,1,Oui,Oui
101,1,5,1,1,2,3,3,2,train,0,0.8748605328620984,1,Oui,Oui
102,2,2,1,1,2,3,5,2,train,2,0.3594951336527713,0,Non,Non
103,2,0,0,2,0,7,6,3,train,2,0.08796531812168709,0,Non,Non
104,1,2,2,1,3,2,4,3,test,2,0.39317188309360124,0,Oui,Non
105,2,1,0,1,3,6,4,4,test,2,0.047899862661519736,0,Non,Non
106,2,0,0,2,0,3,6,3,test,2,0.07514260303248992,0,Non,Non
107,1,4,1,1,3,1,3,2,test,0,0.875655230627925,1,Oui,Oui
108,1,3,1,1,3,3,5,2,train,2,0.3629734932486471,0,Oui,Non
109,2,2,1,1,3,2,2,2,test,0,0.7816103047519499,1,Non,Oui
